N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"85,600","1,100",-1.27%,100,"5,110,134","5,969,783",55.33,"24,488,962",23.38,8.69,
2,SK하이닉스,"128,500",500,-0.39%,"5,000","935,483","728,002",50.13,"4,866,190",32.60,4.25,
3,LG화학,"928,000","27,000",-2.83%,"5,000","655,097","70,592",43.43,"719,570",86.70,1.84,
4,삼성전자우,"77,300",800,-1.02%,100,"636,091","822,887",79.96,"2,960,449",21.11,N/A,
5,삼성바이오로직스,"849,000","47,000",+5.86%,"2,500","561,741","66,165",10.29,"643,517",158.07,4.77,
6,NAVER,"341,500",500,-0.15%,100,"560,959","164,263",57.16,"1,098,597",67.99,10.56,
7,삼성SDI,"789,000","1,000",-0.13%,"5,000","542,552","68,765",44.54,"454,613",269.19,2.94,
8,현대차,"245,500","6,000",-2.39%,"5,000","524,555","213,668",31.10,"2,127,214",58.66,4.32,
9,셀트리온,"329,000","6,500",+2.02%,"1,000","444,143","134,998",20.46,"962,484",88.92,11.19,
10,카카오,"465,000","4,000",+0.87%,500,"411,534","88,502",33.75,"698,996",-516.09,-5.81,
11,기아차,"90,000",300,+0.33%,"5,000","364,827","405,363",35.54,"10,545,985",41.82,6.50,
12,현대모비스,"328,500","9,500",-2.81%,"5,000","312,255","95,055",41.35,"858,231",20.03,7.28,
13,LG전자,"167,000","3,000",-1.76%,"5,000","273,292","163,648",33.75,"3,169,359",36.27,0.22,
14,삼성물산,"142,000",500,+0.35%,100,"265,380","186,887",15.03,"657,640",23.79,4.77,
15,SK이노베이션,"281,000","6,500",-2.26%,"5,000","259,828","92,466",23.65,"1,439,107",-10.69,-0.20,
16,LG생활건강,"1,602,000","24,000",-1.48%,"5,000","250,204","15,618",45.94,"58,746",35.89,20.32,
17,SK,"338,500","1,500",-0.44%,200,"238,170","70,360",21.82,"737,095","1,428.27",4.31,
18,POSCO,"259,500","2,000",+0.78%,"5,000","226,250","87,187",50.98,"317,090",23.77,4.18,
19,엔씨소프트,"978,000","25,000",+2.62%,500,"214,710","21,954",49.70,"102,291",38.27,14.72,
20,SK텔레콤,"251,000","3,000",-1.18%,500,"202,672","80,746",34.93,"384,154",18.48,3.92,
21,LG,"103,000","1,500",-1.44%,"5,000","177,734","172,557",34.71,"571,595",14.56,5.87,
22,KB금융,"42,400",600,-1.40%,"5,000","176,303","415,808",66.52,"2,143,738",5.17,8.92,
23,신한지주,"32,350",0,0.00%,"5,000","167,120","516,600",58.37,"1,732,069",4.64,9.09,
24,삼성에스디에스,"212,000","9,500",+4.69%,500,"164,041","77,378",11.72,"507,744",31.30,11.76,
25,삼성전기,"214,500","2,500",-1.15%,"5,000","160,218","74,694",35.49,"651,925",43.95,10.18,
26,한국전력,"24,150",200,-0.82%,"5,000","155,034","641,964",17.27,"3,432,863",167.71,-3.42,
27,삼성생명,"75,500","1,100",-1.44%,500,"151,000","200,000",12.32,"528,098",15.16,3.26,
28,아모레퍼시픽,"232,000","6,000",-2.52%,500,"135,624","58,458",32.90,"247,216",372.99,5.36,
29,SK바이오팜,"149,500","2,500",-1.64%,500,"117,078","78,313",4.85,"161,512",-135.91,-313.66,
30,넷마블,"131,000","3,500",+2.75%,100,"112,500","85,878",23.26,"591,203",53.06,3.54,
31,KT&G,"81,300",100,+0.12%,"5,000","111,619","137,292",40.25,"507,255",11.34,12.39,
32,하나금융지주,"35,200",100,-0.28%,"5,000","105,685","300,242",67.18,"1,714,349",4.31,8.77,
33,롯데케미칼,"284,500","2,500",+0.89%,"5,000","97,514","34,275",26.25,"208,263",84.10,5.51,
34,한온시스템,"18,200",250,+1.39%,100,"97,152","533,800",20.14,"1,962,852",69.20,14.98,
35,한화솔루션,"54,200",400,-0.73%,"5,000","86,647","159,864",19.28,"1,655,966",-99.45,-4.02,
36,포스코케미칼,"142,000","3,500",+2.53%,500,"86,603","60,988",7.46,"448,215",319.10,11.57,
37,삼성화재,"175,000","1,500",-0.85%,500,"82,906","47,375",44.73,"145,349",12.80,4.85,
38,LG디스플레이,"22,900","1,200",-4.98%,"5,000","81,940","357,816",24.18,"8,412,201",-3.33,-22.35,
39,S-Oil,"70,800",100,+0.14%,"2,500","79,709","112,583",75.97,"272,839",-9.49,1.01,
40,현대글로비스,"211,500","6,000",-2.76%,500,"79,312","37,500",35.23,"647,530",11.89,11.25,
41,고려아연,"411,500","2,000",-0.48%,"5,000","77,650","18,870",23.08,"45,016",13.86,9.76,
42,빅히트,"207,500","3,000",-1.43%,500,"73,919","35,624",4.15,"933,735",N/A,56.47,
43,한국조선해양,"102,500","3,500",-3.30%,"5,000","72,542","70,773",16.44,"623,560",339.40,1.40,
44,CJ제일제당,"461,500",500,+0.11%,"5,000","69,475","15,054",24.68,"78,755",9.58,3.16,
45,금호석유,"225,000","4,500",+2.04%,"5,000","68,552","30,468",28.93,"926,617",19.25,11.84,
46,우리금융지주,"9,330",20,+0.21%,"5,000","67,388","722,268",25.07,"1,116,736",5.00,N/A,
47,미래에셋대우,"9,840",190,+1.97%,"5,000","63,499","645,316",14.90,"2,568,280",10.28,7.56,
48,KT,"24,050",100,-0.41%,"5,000","62,797","261,112",43.90,"1,703,413",10.25,4.61,
49,기업은행,"8,240",40,-0.48%,"5,000","60,866","738,664",10.46,"1,984,048",4.21,7.36,
50,KODEX 200,"42,910",145,-0.34%,0,"59,237","138,050",9.00,"8,653,864",N/A,N/A,
51,한국타이어앤테크놀로지,"46,550","2,600",+5.92%,500,"57,664","123,875",40.61,"495,363",22.40,6.03,
52,녹십자,"489,000","16,000",-3.17%,"5,000","57,147","11,687",22.50,"435,031",131.17,-0.35,
53,현대제철,"42,600","1,050",-2.41%,"5,000","56,848","133,446",19.51,"1,001,894",-23.08,0.10,
54,한미사이언스,"83,500","3,000",+3.73%,500,"56,199","67,305",1.61,"1,153,893",379.55,4.73,
55,LG유플러스,"12,350",0,0.00%,"5,000","53,922","436,611",30.50,"3,914,382",6.80,6.30,
56,코웨이,"72,600","1,200",-1.63%,500,"53,579","73,800",61.06,"284,876",15.00,30.74,
57,대한항공,"30,400",100,-0.33%,"5,000","52,960","174,210",11.78,"2,891,732",-8.94,-22.09,
58,강원랜드,"24,600",150,-0.61%,500,"52,629","213,940",22.46,"606,505",-27.70,9.16,
59,LG이노텍,"220,000","4,500",-2.00%,"5,000","52,068","23,667",32.64,"514,402",39.88,4.73,
60,아모레G,"62,900",800,-1.26%,500,"51,866","82,458",20.03,"155,557",222.26,4.12,
61,한국금융지주,"89,800","2,900",+3.34%,"5,000","50,042","55,726",30.51,"842,035",8.22,18.14,
62,유한양행,"70,900",500,-0.70%,"1,000","49,611","69,973",20.19,"416,008",27.31,2.43,
63,두산중공업,"13,150",150,-1.13%,"5,000","49,265","374,637",10.72,"1,912,786",-2.84,-14.73,
64,한미약품,"405,000","27,000",+7.14%,"2,500","48,917","12,078",13.74,"707,886","-3,932.04",7.30,
65,오리온,"123,500",500,+0.41%,500,"48,827","39,536",42.08,"87,928",17.84,14.24,
66,SK케미칼,"412,500","27,000",-6.14%,"5,000","48,433","11,741",21.62,"648,906",18.82,1.51,
67,SKC,"127,500","2,500",-1.92%,"5,000","48,282","37,868",8.07,"677,842",56.59,3.86,
68,현대건설,"43,250",750,-1.70%,"5,000","48,161","111,356",18.83,"886,166",21.09,6.30,
69,이마트,"171,000","3,500",-2.01%,"5,000","47,668","27,876",31.40,"358,924",8.54,2.76,
70,신풍제약,"89,600","2,900",-3.14%,500,"47,475","52,985",11.27,"1,534,355","2,488.89",0.80,
71,HMM,"14,100",50,+0.36%,"5,000","46,068","326,726",7.21,"4,635,260",-45.48,-55.46,
